Sensor,Variant,Temp (C),Voltage (V),Bit Position,Min-Entropy (bits/bit),VN Min-Entropy (bits/bit),VN Input Bits,VN Output Bits,VN Retention Rate,Post-VN One Fraction,SP 800-22 Sub-tests Passed,SP 800-22 Sub-tests Total,SP 800-22 Pass Rate
B3,B,40,3.3,2,0.9224515118130964,0.8770047126277656,10000000,2501597,0.2501597,0.5001177247973995,188,188,1.0
B3,B,40,5.0,2,0.8548462592310427,0.910681179838741,10000000,2500087,0.2500087,0.4999574014824284,188,188,1.0
B4,B,0,3.3,2,0.9105749203422998,0.8895122115159363,10000000,2499961,0.2499961,0.4999449991419866,187,188,0.9946808510638298
B4,B,0,5.0,2,0.9063103082149538,0.8419986413386119,10000000,2500226,0.2500226,0.5,187,188,0.9946808510638298
B4,B,24,3.3,2,0.8106213804028112,0.8781349840669567,10000000,2481872,0.2481872,0.5000177285532856,188,188,1.0
B4,B,24,5.0,2,0.9038544090875926,0.8771910154082336,10000000,2499370,0.249937,0.4996615147017048,188,188,1.0
B4,B,40,3.3,2,0.728039468391403,0.8671650197236098,10000000,2466651,0.2466651,0.4999179048839904,188,188,1.0
B4,B,40,5.0,2,0.8261959542915305,0.8912163442586719,10000000,2494822,0.2494822,0.4998544986375781,188,188,1.0
B5,B,0,3.3,2,0.903811791088482,0.8713133681381082,10000000,2501536,0.2501536,0.4993979698873012,188,188,1.0
B5,B,0,5.0,2,0.9188805511559935,0.8846684852506971,10000000,2501492,0.2501492,0.5002530489803685,188,188,1.0
B5,B,24,3.3,2,0.8942570928683947,0.9134977158975812,10000000,2501152,0.2501152,0.4995458092910786,188,188,1.0
B5,B,24,5.0,2,0.9057088142547919,0.8891627357302849,10000000,2500471,0.2500471,0.49978863982025784,188,188,1.0
B6,B,0,3.3,2,0.894610078166111,0.8613315011919029,10000000,2498370,0.249837,0.4996845943555198,188,188,1.0
B6,B,0,5.0,2,0.9084260060727442,0.9060514497481768,10000000,2501424,0.2501424,0.5003454032583041,187,188,0.9946808510638298
B6,B,24,3.3,2,0.8949076966099306,0.870806497335597,10000000,2498725,0.2498725,0.5004412250247626,188,188,1.0
B6,B,24,5.0,2,0.9042467862486686,0.8484054902510744,10000000,2499266,0.2499266,0.5000736216153062,188,188,1.0
C1,C,0,3.3,2,0.8988967025969873,0.89410706792131,10000000,2499295,0.2499295,0.5005795634368893,188,188,1.0
C1,C,0,5.0,2,0.8947318963129663,0.8659917963200757,10000000,2500300,0.25003,0.4995428548574171,188,188,1.0
C1,C,24,3.3,2,0.9149835609508954,0.869054840865183,10000000,2501668,0.2501668,0.5000007994665959,188,188,1.0
